ds,yhat,yhat_lower,yhat_upper
2018-01-01,8893.947702428295,-2994.4391945270795,20073.503765139838
2018-01-02,8960.750208527805,-3528.743380148684,19476.683092443713
2018-01-03,9241.469180227385,-3051.0851137213203,20392.31433620443
2018-01-04,9239.157906313014,-3287.759583509279,20838.57420108888
2018-01-05,9371.858475533609,-2586.567186794124,21707.252799955702
2018-01-06,9456.140209154766,-1759.7306476190156,21132.527615291954
2018-01-07,9551.787529160274,-2504.3962130909513,21346.580610644774
2018-01-08,9727.529003184784,-1226.3235945752417,21382.482713419133
2018-01-09,9711.976997372061,-3512.0669356581366,21066.7204671125
2018-01-10,9892.735888575775,-2639.6651649980786,22361.638610907874
2018-01-11,9774.732382678329,-1882.5046860413602,21309.051227490338
2018-01-12,9778.272833873532,-3004.094271183543,22026.425242381833
2018-01-13,9722.527948159057,-2560.9203148240063,20810.5221669949
2018-01-14,9670.157669542656,-2642.485270973916,21889.81953224597
2018-01-15,9692.969661549012,-1974.7537311902136,22073.56227306014
2018-01-16,9522.782705330004,-2635.3321821330264,21625.635587485427
2018-01-17,9550.455021739039,-1348.151267699242,22315.99646053227
2018-01-18,9284.13322838259,-3027.3111099263992,21585.296421550145
2018-01-19,9147.229038072639,-3828.2343839883147,21402.807229609665
2018-01-20,8961.82627846932,-3479.3526081808795,21419.945285637295
2018-01-21,8793.233150723912,-4353.335516099841,21383.23213857484
2018-01-22,8715.575121723372,-3438.552399130216,21245.721709259396
2018-01-23,8462.601559552877,-4245.69507385303,20256.20016246476
2018-01-24,8426.66766334534,-4673.947825148784,20993.765786043918
2018-01-25,8116.948653751225,-4138.056797180092,19906.807690096426
2018-01-26,7957.394261276133,-4349.651555927633,20368.463770674443
2018-01-27,7770.1266720937765,-5005.812958536256,19550.98285148835
2018-01-28,7619.997061361686,-4564.587357093607,20313.114761553923
2018-01-29,7580.195947107298,-4358.106381733931,19709.011613428735
2018-01-30,7383.0899436868085,-5499.329924074465,19622.126876028215
2018-01-31,7419.245581357421,-4608.293735494932,18676.811377932645
2018-02-01,7195.695944943343,-5033.892172087679,19716.078952029184
2018-02-02,7133.956661662779,-4398.614694308563,19630.60420940193
2018-02-03,7053.492639822742,-5255.519462200676,18442.364521410807
2018-02-04,7016.348730153184,-5184.154371020524,18888.343343790646
2018-02-05,7092.83744040171,-4363.778926261941,19006.55652226572
2018-02-06,7012.454095797717,-4461.5018819628285,18519.839074105497
2018-02-07,7162.977904274322,-4472.601748091954,19455.711698995387
2018-02-08,7048.812513766523,-5565.390795844878,18670.379139092012
2018-02-09,7089.070530016192,-5208.45918236974,18748.772945829285
2018-02-10,7101.101497928685,-4507.51178978754,19465.71779287357
2018-02-11,7145.174836835298,-4660.59977005576,18920.672903989147
2018-02-12,7290.2094440146175,-4393.68637629005,18951.932642930446
2018-02-13,7264.719248180761,-4453.101290612679,19401.6737480434
2018-02-14,7455.9323976672895,-4661.273953694721,19997.145542402992
2018-02-15,7368.137254711512,-5305.670249202768,19985.348623841106
2018-02-16,7420.759617839671,-4304.508200353225,20199.11054565521
2018-02-17,7431.8709988046885,-4228.831876189941,19206.512348655273
2018-02-18,7462.840127402451,-5869.168271247122,19849.236349385363
2018-02-19,7584.020420263162,-4599.3432699572695,19983.304508114492
2018-02-20,7525.644025265899,-4819.9752237653165,20511.255248054764
2018-02-21,7676.881724846987,-4055.825515459839,19451.495325306205
2018-02-22,7544.123689451937,-4777.144679796309,20427.867944423986
2018-02-23,7548.987490460375,-3694.430207912227,21289.52036445137
2018-02-24,7511.755295271881,-3855.9725113465465,19719.720699564332
2018-02-25,7495.954561224634,-4401.6461560694015,19245.3131702723
2018-02-26,7573.977091846886,-4823.59203356136,19385.231162162905
2018-02-27,7477.909115899959,-5026.459334088579,19418.136430555696
2018-02-28,7598.533582493082,-4715.265779647553,19598.00116738432
